"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6245","Проверка появления номера заказа в разделе 'В работе' после оформления","tests","Tue Jul 08 11:51:29 GMT+05:00 2025","passed","Tue Jul 08 11:51:36 GMT+05:00 2025","TestOrderListPage","test_order_list_page","",""
"","509","Проверка закрытия модального окна ингредиента с помощью крестика","tests","Tue Jul 08 11:47:41 GMT+05:00 2025","passed","Tue Jul 08 11:47:41 GMT+05:00 2025","TestMainPage","test_main_page","",""
"","9381","Проверка отображения заказов пользователя из истории заказов на странице 'Лента заказов'","tests","Tue Jul 08 11:49:33 GMT+05:00 2025","passed","Tue Jul 08 11:49:42 GMT+05:00 2025","TestOrderListPage","test_order_list_page","",""
"","749","Проверка отображения окна авторизации после логаута пользователя","tests","Tue Jul 08 11:53:02 GMT+05:00 2025","passed","Tue Jul 08 11:53:03 GMT+05:00 2025","TestProfilePage","test_profile_page","",""
"","8147","Проверка увеличения счетчика заказов за все время после оформления заказа","tests","Tue Jul 08 11:50:51 GMT+05:00 2025","passed","Tue Jul 08 11:51:00 GMT+05:00 2025","TestOrderListPage","test_order_list_page","",""
"","5543","Проверка подсветки поля ввода пароля при клике на кнопку Показать/Скрыть пароль","tests","Tue Jul 08 11:53:55 GMT+05:00 2025","passed","Tue Jul 08 11:54:00 GMT+05:00 2025","TestResetPassword","test_reset_password_page","",""
"","4804","Проверка отображения второго окна восстановления пароля после ввода почты и клика по кнопке 'Восстановить'","tests","Tue Jul 08 11:53:46 GMT+05:00 2025","passed","Tue Jul 08 11:53:51 GMT+05:00 2025","TestResetPassword","test_reset_password_page","",""
"","748","Проверка отображения окна авторизации после логаута пользователя","tests","Tue Jul 08 11:53:15 GMT+05:00 2025","passed","Tue Jul 08 11:53:16 GMT+05:00 2025","TestProfilePage","test_profile_page","",""
"","2256","Проверка отображения модального окна заказа в ленте заказов после клика на заказ","tests","Tue Jul 08 11:49:20 GMT+05:00 2025","passed","Tue Jul 08 11:49:22 GMT+05:00 2025","TestOrderListPage","test_order_list_page","",""
"","8709","Проверка отображения заказов пользователя из истории заказов на странице 'Лента заказов'","tests","Tue Jul 08 11:49:54 GMT+05:00 2025","passed","Tue Jul 08 11:50:03 GMT+05:00 2025","TestOrderListPage","test_order_list_page","",""
"","972","Проверка перехода в личный кабинет с главной страницы","tests","Tue Jul 08 11:52:15 GMT+05:00 2025","passed","Tue Jul 08 11:52:16 GMT+05:00 2025","TestProfilePage","test_profile_page","",""
"","746","Проверка перехода на страницу конструктора по кнопке 'Конструктор'","tests","Tue Jul 08 11:46:53 GMT+05:00 2025","passed","Tue Jul 08 11:46:53 GMT+05:00 2025","TestMainPage","test_main_page","",""
"","8169","Проверка увеличения счетчика заказов за все время после оформления заказа","tests","Tue Jul 08 11:51:10 GMT+05:00 2025","passed","Tue Jul 08 11:51:18 GMT+05:00 2025","TestOrderListPage","test_order_list_page","",""
"","3640","Проверка перехода на страницу восстановления пароля по кнопке 'Восстановить пароль'","tests","Tue Jul 08 11:53:28 GMT+05:00 2025","passed","Tue Jul 08 11:53:32 GMT+05:00 2025","TestResetPassword","test_reset_password_page","",""
"","7182","Проверка перехода в раздел 'История заказов' в личном кабинете","tests","Tue Jul 08 11:52:27 GMT+05:00 2025","passed","Tue Jul 08 11:52:34 GMT+05:00 2025","TestProfilePage","test_profile_page","",""
"","8143","Проверка увеличения счетчика заказов за все время после оформления заказа","tests","Tue Jul 08 11:50:13 GMT+05:00 2025","passed","Tue Jul 08 11:50:21 GMT+05:00 2025","TestOrderListPage","test_order_list_page","",""
"","7352","Проверка перехода в раздел 'История заказов' в личном кабинете","tests","Tue Jul 08 11:52:43 GMT+05:00 2025","passed","Tue Jul 08 11:52:51 GMT+05:00 2025","TestProfilePage","test_profile_page","",""
"","3608","Проверка перехода на страницу восстановления пароля по кнопке 'Восстановить пароль'","tests","Tue Jul 08 11:53:21 GMT+05:00 2025","passed","Tue Jul 08 11:53:24 GMT+05:00 2025","TestResetPassword","test_reset_password_page","",""
"","1094","Проверка перехода на страницу конструктора по кнопке 'Конструктор'","tests","Tue Jul 08 11:46:43 GMT+05:00 2025","passed","Tue Jul 08 11:46:44 GMT+05:00 2025","TestMainPage","test_main_page","",""
"","2564","Проверка перехода на страницу ленты заказов по кнопке 'Лента заказов'","tests","Tue Jul 08 11:48:49 GMT+05:00 2025","passed","Tue Jul 08 11:48:51 GMT+05:00 2025","TestOrderListPage","test_order_list_page","",""
"","2027","Проверка перехода на страницу ленты заказов по кнопке 'Лента заказов'","tests","Tue Jul 08 11:48:59 GMT+05:00 2025","passed","Tue Jul 08 11:49:01 GMT+05:00 2025","TestOrderListPage","test_order_list_page","",""
"","5064","Проверка подсветки поля ввода пароля при клике на кнопку Показать/Скрыть пароль","tests","Tue Jul 08 11:54:04 GMT+05:00 2025","passed","Tue Jul 08 11:54:09 GMT+05:00 2025","TestResetPassword","test_reset_password_page","",""
"","532","Проверка закрытия модального окна ингредиента с помощью крестика","tests","Tue Jul 08 11:47:27 GMT+05:00 2025","passed","Tue Jul 08 11:47:28 GMT+05:00 2025","TestMainPage","test_main_page","",""
"","180","Проверка изменения значения в каунтере при перетаскивании ингредиента","tests","Tue Jul 08 11:48:05 GMT+05:00 2025","passed","Tue Jul 08 11:48:05 GMT+05:00 2025","TestMainPage","test_main_page","",""
"","290","Проверка отображения модального окна с информацией об ингредиенте","tests","Tue Jul 08 11:47:15 GMT+05:00 2025","passed","Tue Jul 08 11:47:15 GMT+05:00 2025","TestMainPage","test_main_page","",""
"","3829","Проверка оформления заказа авторизованным пользователем","tests","Tue Jul 08 11:48:34 GMT+05:00 2025","passed","Tue Jul 08 11:48:38 GMT+05:00 2025","TestMainPage","test_main_page","",""
"","7903","Проверка увеличения счетчика заказов за все время после оформления заказа","tests","Tue Jul 08 11:50:32 GMT+05:00 2025","passed","Tue Jul 08 11:50:40 GMT+05:00 2025","TestOrderListPage","test_order_list_page","",""
"","6778","Проверка появления номера заказа в разделе 'В работе' после оформления","tests","Tue Jul 08 11:51:46 GMT+05:00 2025","passed","Tue Jul 08 11:51:53 GMT+05:00 2025","TestOrderListPage","test_order_list_page","",""
"","6922","Проверка отображения второго окна восстановления пароля после ввода почты и клика по кнопке 'Восстановить'","tests","Tue Jul 08 11:53:36 GMT+05:00 2025","passed","Tue Jul 08 11:53:43 GMT+05:00 2025","TestResetPassword","test_reset_password_page","",""
"","958","Проверка перехода в личный кабинет с главной страницы","tests","Tue Jul 08 11:52:05 GMT+05:00 2025","passed","Tue Jul 08 11:52:06 GMT+05:00 2025","TestProfilePage","test_profile_page","",""
"","3855","Проверка оформления заказа авторизованным пользователем","tests","Tue Jul 08 11:48:17 GMT+05:00 2025","passed","Tue Jul 08 11:48:21 GMT+05:00 2025","TestMainPage","test_main_page","",""
"","281","Проверка отображения модального окна с информацией об ингредиенте","tests","Tue Jul 08 11:47:01 GMT+05:00 2025","passed","Tue Jul 08 11:47:02 GMT+05:00 2025","TestMainPage","test_main_page","",""
"","74","Проверка изменения значения в каунтере при перетаскивании ингредиента","tests","Tue Jul 08 11:47:55 GMT+05:00 2025","passed","Tue Jul 08 11:47:55 GMT+05:00 2025","TestMainPage","test_main_page","",""
"","2259","Проверка отображения модального окна заказа в ленте заказов после клика на заказ","tests","Tue Jul 08 11:49:09 GMT+05:00 2025","passed","Tue Jul 08 11:49:12 GMT+05:00 2025","TestOrderListPage","test_order_list_page","",""
